president,party,election_year,state,state_po,vote_pct
Richard Nixon,Republican,1968,Alabama,AL,14
Richard Nixon,Republican,1968,Alaska,AK,45.3
Richard Nixon,Republican,1968,Arizona,AZ,54.8
Richard Nixon,Republican,1968,Arkansas,AR,30.8
Richard Nixon,Republican,1968,California,CA,47.8
Richard Nixon,Republican,1968,Colorado,CO,50.5
Richard Nixon,Republican,1968,Connecticut,CT,44.3
Richard Nixon,Republican,1968,Delaware,DE,45.1
Richard Nixon,Republican,1968,District of Columbia,DC,18.2
Richard Nixon,Republican,1968,Florida,FL,40.5
Richard Nixon,Republican,1968,Georgia,GA,30.4
Richard Nixon,Republican,1968,Hawaii,HI,38.7
Richard Nixon,Republican,1968,Idaho,ID,56.8
Richard Nixon,Republican,1968,Illinois,IL,47.1
Richard Nixon,Republican,1968,Indiana,IN,50.3
Richard Nixon,Republican,1968,Iowa,IA,53
Richard Nixon,Republican,1968,Kansas,KS,54.8
Richard Nixon,Republican,1968,Kentucky,KY,43.8
Richard Nixon,Republican,1968,Louisiana,LA,23.5
Richard Nixon,Republican,1968,Maine,ME,43.1
Richard Nixon,Republican,1968,Maryland,MD,41.9
Richard Nixon,Republican,1968,Massachusetts,MA,32.9
Richard Nixon,Republican,1968,Michigan,MI,41.5
Richard Nixon,Republican,1968,Minnesota,MN,41.5
Richard Nixon,Republican,1968,Mississippi,MS,13.5
Richard Nixon,Republican,1968,Missouri,MO,44.9
Richard Nixon,Republican,1968,Montana,MT,50.6
Richard Nixon,Republican,1968,Nebraska,NE,59.8
Richard Nixon,Republican,1968,Nevada,NV,47.5
Richard Nixon,Republican,1968,New Hampshire,NH,52.1
Richard Nixon,Republican,1968,New Jersey,NJ,46.1
Richard Nixon,Republican,1968,New Mexico,NM,51.8
Richard Nixon,Republican,1968,New York,NY,44.3
Richard Nixon,Republican,1968,North Carolina,NC,39.5
Richard Nixon,Republican,1968,North Dakota,ND,55.9
Richard Nixon,Republican,1968,Ohio,OH,45.2
Richard Nixon,Republican,1968,Oklahoma,OK,47.7
Richard Nixon,Republican,1968,Oregon,OR,49.8
Richard Nixon,Republican,1968,Pennsylvania,PA,44
Richard Nixon,Republican,1968,Rhode Island,RI,31.8
Richard Nixon,Republican,1968,South Carolina,SC,38.1
Richard Nixon,Republican,1968,South Dakota,SD,53.3
Richard Nixon,Republican,1968,Tennessee,TN,37.8
Richard Nixon,Republican,1968,Texas,TX,39.9
Richard Nixon,Republican,1968,Utah,UT,56.5
Richard Nixon,Republican,1968,Vermont,VT,52.8
Richard Nixon,Republican,1968,Virginia,VA,43.4
Richard Nixon,Republican,1968,Washington,WA,45.1
Richard Nixon,Republican,1968,West Virginia,WV,40.8
Richard Nixon,Republican,1968,Wisconsin,WI,47.9
Richard Nixon,Republican,1968,Wyoming,WY,55.8
Gerald Ford,Republican,1976,Alabama,AL,42.6
Gerald Ford,Republican,1976,Alaska,AK,57.9
Gerald Ford,Republican,1976,Arizona,AZ,56.4
Gerald Ford,Republican,1976,Arkansas,AR,34.9
Gerald Ford,Republican,1976,California,CA,49.7
Gerald Ford,Republican,1976,Colorado,CO,54
Gerald Ford,Republican,1976,Connecticut,CT,51.9
Gerald Ford,Republican,1976,Delaware,DE,46.6
Gerald Ford,Republican,1976,District of Columbia,DC,16.5
Gerald Ford,Republican,1976,Florida,FL,46.6
Gerald Ford,Republican,1976,Georgia,GA,33.1
Gerald Ford,Republican,1976,Hawaii,HI,48.1
Gerald Ford,Republican,1976,Idaho,ID,59.9
Gerald Ford,Republican,1976,Illinois,IL,50.1
