president,party,year_month,approval
Dwight Eisenhower,Republican,1954-04-01,64
Dwight Eisenhower,Republican,1954-05-01,61
Dwight Eisenhower,Republican,1954-06-01,62.5
Dwight Eisenhower,Republican,1954-07-01,74
Dwight Eisenhower,Republican,1954-08-01,64
Dwight Eisenhower,Republican,1954-09-01,65
Dwight Eisenhower,Republican,1954-10-01,61
Dwight Eisenhower,Republican,1954-11-01,62.5
Dwight Eisenhower,Republican,1955-01-01,69
Dwight Eisenhower,Republican,1955-02-01,72
Dwight Eisenhower,Republican,1955-03-01,67
Dwight Eisenhower,Republican,1955-04-01,69
Dwight Eisenhower,Republican,1955-05-01,67
Dwight Eisenhower,Republican,1955-06-01,68
Dwight Eisenhower,Republican,1955-07-01,72
Dwight Eisenhower,Republican,1955-08-01,72.5
Dwight Eisenhower,Republican,1955-09-01,70
Dwight Eisenhower,Republican,1955-11-01,77
Dwight Eisenhower,Republican,1955-12-01,74
Dwight Eisenhower,Republican,1956-01-01,76
Dwight Eisenhower,Republican,1956-02-01,74
Dwight Eisenhower,Republican,1956-03-01,72
Dwight Eisenhower,Republican,1956-04-01,72
Dwight Eisenhower,Republican,1956-05-01,70
Dwight Eisenhower,Republican,1956-06-01,72
Dwight Eisenhower,Republican,1956-07-01,69
Dwight Eisenhower,Republican,1956-08-01,67
Dwight Eisenhower,Republican,1956-11-01,74
Dwight Eisenhower,Republican,1956-12-01,77
Dwight Eisenhower,Republican,1957-01-01,73
Dwight Eisenhower,Republican,1957-02-01,72
Dwight Eisenhower,Republican,1957-03-01,68
Dwight Eisenhower,Republican,1957-04-01,64
Dwight Eisenhower,Republican,1957-05-01,61
Dwight Eisenhower,Republican,1957-06-01,63
Dwight Eisenhower,Republican,1957-07-01,64
Dwight Eisenhower,Republican,1957-08-01,62
Dwight Eisenhower,Republican,1957-09-01,57
Dwight Eisenhower,Republican,1957-10-01,56
Dwight Eisenhower,Republican,1957-11-01,57
Dwight Eisenhower,Republican,1957-12-01,60
Dwight Eisenhower,Republican,1958-01-01,57
Dwight Eisenhower,Republican,1958-02-01,54
Dwight Eisenhower,Republican,1958-03-01,48.5
Dwight Eisenhower,Republican,1958-04-01,54
Dwight Eisenhower,Republican,1958-05-01,52
Dwight Eisenhower,Republican,1958-07-01,52
Dwight Eisenhower,Republican,1958-08-01,56
Dwight Eisenhower,Republican,1958-09-01,54.5
Dwight Eisenhower,Republican,1958-10-01,56
Dwight Eisenhower,Republican,1958-11-01,51
Dwight Eisenhower,Republican,1958-12-01,56
Dwight Eisenhower,Republican,1959-01-01,56
Dwight Eisenhower,Republican,1959-02-01,58
Dwight Eisenhower,Republican,1959-03-01,60
Dwight Eisenhower,Republican,1959-04-01,59
Dwight Eisenhower,Republican,1959-06-01,62.5
Dwight Eisenhower,Republican,1959-07-01,60
Dwight Eisenhower,Republican,1959-09-01,66
Dwight Eisenhower,Republican,1959-10-01,66
Dwight Eisenhower,Republican,1959-11-01,64
Dwight Eisenhower,Republican,1959-12-01,71
Dwight Eisenhower,Republican,1960-01-01,66
Dwight Eisenhower,Republican,1960-02-01,63
Dwight Eisenhower,Republican,1960-03-01,64
Dwight Eisenhower,Republican,1960-04-01,61
Dwight Eisenhower,Republican,1960-05-01,64
Dwight Eisenhower,Republican,1960-06-01,58.5
Dwight Eisenhower,Republican,1960-07-01,55.5
Dwight Eisenhower,Republican,1960-08-01,61.5
Dwight Eisenhower,Republican,1960-09-01,61
Dwight Eisenhower,Republican,1960-10-01,57
Dwight Eisenhower,Republican,1960-11-01,59
Dwight Eisenhower,Republican,1960-12-01,63.5
John F. Kennedy,Democrat,1961-02-01,72
John F. Kennedy,Democrat,1961-03-01,72
John F. Kennedy,Democrat,1961-04-01,78
John F. Kennedy,Democrat,1961-05-01,78
John F. Kennedy,Democrat,1961-06-01,72
John F. Kennedy,Democrat,1961-07-01,74
John F. Kennedy,Democrat,1961-08-01,75
John F. Kennedy,Democrat,1961-09-01,78
John F. Kennedy,Democrat,1961-10-01,76
John F. Kennedy,Democrat,1961-11-01,79
John F. Kennedy,Democrat,1961-12-01,76
John F. Kennedy,Democrat,1962-01-01,78
John F. Kennedy,Democrat,1962-02-01,77
John F. Kennedy,Democrat,1962-03-01,79
John F. Kennedy,Democrat,1962-04-01,77
John F. Kennedy,Democrat,1962-05-01,71.5
John F. Kennedy,Democrat,1962-07-01,66.5
John F. Kennedy,Democrat,1962-08-01,67
John F. Kennedy,Democrat,1962-09-01,62
John F. Kennedy,Democrat,1962-10-01,60
John F. Kennedy,Democrat,1962-11-01,72
John F. Kennedy,Democrat,1962-12-01,75
John F. Kennedy,Democrat,1963-01-01,73
John F. Kennedy,Democrat,1963-02-01,70
John F. Kennedy,Democrat,1963-03-01,66
John F. Kennedy,Democrat,1963-04-01,65
John F. Kennedy,Democrat,1963-05-01,63.3
John F. Kennedy,Democrat,1963-07-01,60
John F. Kennedy,Democrat,1963-08-01,62
John F. Kennedy,Democrat,1963-09-01,56
John F. Kennedy,Democrat,1963-10-01,58
John F. Kennedy,Democrat,1963-11-01,58
Lyndon Johnson,Democrat,1963-12-01,75
Lyndon Johnson,Democrat,1964-01-01,76
Lyndon Johnson,Democrat,1964-02-01,74
Lyndon Johnson,Democrat,1964-03-01,78
Lyndon Johnson,Democrat,1964-04-01,74.5
Lyndon Johnson,Democrat,1964-05-01,74
Lyndon Johnson,Democrat,1964-06-01,73.3
Lyndon Johnson,Democrat,1964-11-01,68
Lyndon Johnson,Democrat,1965-01-01,70
Lyndon Johnson,Democrat,1965-02-01,69
Lyndon Johnson,Democrat,1965-03-01,69
Lyndon Johnson,Democrat,1965-04-01,64.5
Lyndon Johnson,Democrat,1965-05-01,70
Lyndon Johnson,Democrat,1965-06-01,66.5
Lyndon Johnson,Democrat,1965-07-01,65
Lyndon Johnson,Democrat,1965-08-01,65
Lyndon Johnson,Democrat,1965-09-01,63
Lyndon Johnson,Democrat,1965-10-01,65
Lyndon Johnson,Democrat,1965-11-01,63
Lyndon Johnson,Democrat,1965-12-01,63
Lyndon Johnson,Democrat,1966-01-01,60
Lyndon Johnson,Democrat,1966-02-01,55
Lyndon Johnson,Democrat,1966-03-01,56.5
Lyndon Johnson,Democrat,1966-04-01,53
Lyndon Johnson,Democrat,1966-05-01,48
Lyndon Johnson,Democrat,1966-06-01,48
Lyndon Johnson,Democrat,1966-07-01,55
Lyndon Johnson,Democrat,1966-08-01,48.5
Lyndon Johnson,Democrat,1966-10-01,44
Lyndon Johnson,Democrat,1966-11-01,48
Lyndon Johnson,Democrat,1966-12-01,43
Lyndon Johnson,Democrat,1967-01-01,45.5
Lyndon Johnson,Democrat,1967-02-01,44
Lyndon Johnson,Democrat,1967-03-01,44
Lyndon Johnson,Democrat,1967-04-01,46.5
Lyndon Johnson,Democrat,1967-05-01,41
Lyndon Johnson,Democrat,1967-06-01,46.5
Lyndon Johnson,Democrat,1967-07-01,46
Lyndon Johnson,Democrat,1967-08-01,38.5
Lyndon Johnson,Democrat,1967-09-01,37
Lyndon Johnson,Democrat,1967-10-01,37
Lyndon Johnson,Democrat,1967-11-01,40.5
Lyndon Johnson,Democrat,1967-12-01,44
Lyndon Johnson,Democrat,1968-01-01,48
Lyndon Johnson,Democrat,1968-02-01,40.5
Lyndon Johnson,Democrat,1968-04-01,50
Lyndon Johnson,Democrat,1968-05-01,43
Lyndon Johnson,Democrat,1968-06-01,42
Lyndon Johnson,Democrat,1968-07-01,39
Lyndon Johnson,Democrat,1968-08-01,34
Lyndon Johnson,Democrat,1968-10-01,41
Lyndon Johnson,Democrat,1968-11-01,43
Lyndon Johnson,Democrat,1968-12-01,44
Lyndon Johnson,Democrat,1969-01-01,49
Richard Nixon,Republican,1969-01-01,59
Richard Nixon,Republican,1969-02-01,59
Richard Nixon,Republican,1969-03-01,65
Richard Nixon,Republican,1969-04-01,59
Richard Nixon,Republican,1969-05-01,61
Richard Nixon,Republican,1969-06-01,63
Richard Nixon,Republican,1969-07-01,59.5
Richard Nixon,Republican,1969-08-01,58
Richard Nixon,Republican,1969-09-01,55
Richard Nixon,Republican,1969-10-01,54
Richard Nixon,Republican,1969-11-01,64
Richard Nixon,Republican,1969-12-01,54.5
Richard Nixon,Republican,1970-01-01,57
Richard Nixon,Republican,1970-02-01,60
Richard Nixon,Republican,1970-03-01,54
Richard Nixon,Republican,1970-04-01,56
Richard Nixon,Republican,1970-05-01,58
Richard Nixon,Republican,1970-06-01,54
Richard Nixon,Republican,1970-07-01,60
Richard Nixon,Republican,1970-08-01,54
Richard Nixon,Republican,1970-09-01,54
Richard Nixon,Republican,1970-10-01,57
Richard Nixon,Republican,1970-11-01,56
Richard Nixon,Republican,1970-12-01,48
Richard Nixon,Republican,1971-01-01,55
Richard Nixon,Republican,1971-02-01,49
Richard Nixon,Republican,1971-03-01,48.5
Richard Nixon,Republican,1971-04-01,47
Richard Nixon,Republican,1971-05-01,40
Richard Nixon,Republican,1971-06-01,43.5
Richard Nixon,Republican,1971-07-01,47
Richard Nixon,Republican,1971-08-01,47
Richard Nixon,Republican,1971-10-01,50
Richard Nixon,Republican,1971-11-01,49
Richard Nixon,Republican,1971-12-01,49
Richard Nixon,Republican,1972-01-01,49
Richard Nixon,Republican,1972-02-01,53
Richard Nixon,Republican,1972-03-01,52
Richard Nixon,Republican,1972-04-01,53
Richard Nixon,Republican,1972-05-01,61
Richard Nixon,Republican,1972-06-01,57.5
Richard Nixon,Republican,1972-11-01,62
Richard Nixon,Republican,1972-12-01,59
Richard Nixon,Republican,1973-01-01,58.5
Richard Nixon,Republican,1973-02-01,65
Richard Nixon,Republican,1973-03-01,57
Richard Nixon,Republican,1973-04-01,50
Richard Nixon,Republican,1973-05-01,43.5
Richard Nixon,Republican,1973-07-01,39
Richard Nixon,Republican,1973-08-01,36
Richard Nixon,Republican,1973-09-01,32.5
Richard Nixon,Republican,1973-10-01,27.3
Richard Nixon,Republican,1973-11-01,30
Richard Nixon,Republican,1973-12-01,28
Richard Nixon,Republican,1974-01-01,25.3
Richard Nixon,Republican,1974-02-01,25.5
Richard Nixon,Republican,1974-03-01,25.5
Richard Nixon,Republican,1974-04-01,25.3
Richard Nixon,Republican,1974-05-01,25.7
Richard Nixon,Republican,1974-06-01,26
Richard Nixon,Republican,1974-07-01,23
Gerald Ford,Republican,1974-08-01,70
Richard Nixon,Republican,1974-08-01,24
Gerald Ford,Republican,1974-09-01,57.5
Gerald Ford,Republican,1974-10-01,52.5
Gerald Ford,Republican,1974-11-01,47.5
Gerald Ford,Republican,1974-12-01,42
Gerald Ford,Republican,1975-01-01,37.5
Gerald Ford,Republican,1975-02-01,38
Gerald Ford,Republican,1975-03-01,37
Gerald Ford,Republican,1975-04-01,41
Gerald Ford,Republican,1975-05-01,44.5
Gerald Ford,Republican,1975-06-01,51
Gerald Ford,Republican,1975-07-01,45
Gerald Ford,Republican,1975-08-01,46
Gerald Ford,Republican,1975-09-01,44
Gerald Ford,Republican,1975-10-01,45.7
Gerald Ford,Republican,1975-11-01,41
Gerald Ford,Republican,1975-12-01,43
Gerald Ford,Republican,1976-01-01,46
Gerald Ford,Republican,1976-03-01,50
Gerald Ford,Republican,1976-04-01,48
Gerald Ford,Republican,1976-05-01,47
Gerald Ford,Republican,1976-06-01,45
Gerald Ford,Republican,1977-01-01,44
Jimmy Carter,Democrat,1977-02-01,68.5
Jimmy Carter,Democrat,1977-03-01,70.5
Jimmy Carter,Democrat,1977-04-01,63
Jimmy Carter,Democrat,1977-05-01,63.2
Jimmy Carter,Democrat,1977-06-01,63
Jimmy Carter,Democrat,1977-07-01,64
Jimmy Carter,Democrat,1977-08-01,62.5
Jimmy Carter,Democrat,1977-09-01,56
Jimmy Carter,Democrat,1977-10-01,53
Jimmy Carter,Democrat,1977-11-01,54.5
Jimmy Carter,Democrat,1977-12-01,56
Jimmy Carter,Democrat,1978-01-01,52.5
Jimmy Carter,Democrat,1978-02-01,48
Jimmy Carter,Democrat,1978-03-01,48
Jimmy Carter,Democrat,1978-04-01,40.5
Jimmy Carter,Democrat,1978-05-01,42
Jimmy Carter,Democrat,1978-06-01,42
Jimmy Carter,Democrat,1978-07-01,39
Jimmy Carter,Democrat,1978-08-01,40.3
Jimmy Carter,Democrat,1978-09-01,44.3
Jimmy Carter,Democrat,1978-10-01,49
Jimmy Carter,Democrat,1978-11-01,50
Jimmy Carter,Democrat,1978-12-01,51
Jimmy Carter,Democrat,1979-01-01,45
Jimmy Carter,Democrat,1979-02-01,38
Jimmy Carter,Democrat,1979-03-01,44
Jimmy Carter,Democrat,1979-04-01,40
Jimmy Carter,Democrat,1979-05-01,32.7
Jimmy Carter,Democrat,1979-06-01,28.5
Jimmy Carter,Democrat,1979-07-01,31
Jimmy Carter,Democrat,1979-08-01,32.5
Jimmy Carter,Democrat,1979-09-01,30.5
Jimmy Carter,Democrat,1979-10-01,30
Jimmy Carter,Democrat,1979-11-01,44
Jimmy Carter,Democrat,1979-12-01,54
Jimmy Carter,Democrat,1980-01-01,56
Jimmy Carter,Democrat,1980-02-01,51
Jimmy Carter,Democrat,1980-03-01,40.5
Jimmy Carter,Democrat,1980-04-01,40
Jimmy Carter,Democrat,1980-05-01,38
Jimmy Carter,Democrat,1980-06-01,31
Jimmy Carter,Democrat,1980-07-01,32
Jimmy Carter,Democrat,1980-08-01,32
Jimmy Carter,Democrat,1980-09-01,37
Jimmy Carter,Democrat,1980-11-01,31
Jimmy Carter,Democrat,1980-12-01,34
Ronald Reagan,Republican,1981-02-01,53
Ronald Reagan,Republican,1981-03-01,66
Ronald Reagan,Republican,1981-04-01,66
Ronald Reagan,Republican,1981-05-01,68
Ronald Reagan,Republican,1981-06-01,57.7
Ronald Reagan,Republican,1981-07-01,57
Ronald Reagan,Republican,1981-08-01,59
Ronald Reagan,Republican,1981-09-01,51
Ronald Reagan,Republican,1981-11-01,52
Ronald Reagan,Republican,1981-12-01,48
Ronald Reagan,Republican,1982-01-01,48
Ronald Reagan,Republican,1982-02-01,46
Ronald Reagan,Republican,1982-03-01,46
Ronald Reagan,Republican,1982-04-01,44
Ronald Reagan,Republican,1982-05-01,44
Ronald Reagan,Republican,1982-06-01,44
Ronald Reagan,Republican,1982-07-01,42
Ronald Reagan,Republican,1982-08-01,40.3
Ronald Reagan,Republican,1982-09-01,42
Ronald Reagan,Republican,1982-10-01,41
Ronald Reagan,Republican,1982-11-01,42.5
Ronald Reagan,Republican,1982-12-01,41
Ronald Reagan,Republican,1983-01-01,36
Ronald Reagan,Republican,1983-03-01,40
Ronald Reagan,Republican,1983-04-01,40
Ronald Reagan,Republican,1983-05-01,43.3
Ronald Reagan,Republican,1983-06-01,44.5
Ronald Reagan,Republican,1983-07-01,42
Ronald Reagan,Republican,1983-08-01,43
Ronald Reagan,Republican,1983-09-01,47
Ronald Reagan,Republican,1983-10-01,45
Ronald Reagan,Republican,1983-11-01,52
Ronald Reagan,Republican,1983-12-01,53
Ronald Reagan,Republican,1984-01-01,53.5
Ronald Reagan,Republican,1984-02-01,53.5
Ronald Reagan,Republican,1984-03-01,52.5
Ronald Reagan,Republican,1984-04-01,51
Ronald Reagan,Republican,1984-05-01,51
Ronald Reagan,Republican,1984-06-01,53
Ronald Reagan,Republican,1984-07-01,52.6
Ronald Reagan,Republican,1984-08-01,53
Ronald Reagan,Republican,1984-09-01,56
Ronald Reagan,Republican,1984-10-01,55.5
Ronald Reagan,Republican,1984-11-01,61
Ronald Reagan,Republican,1984-12-01,60
Ronald Reagan,Republican,1985-01-01,61
Ronald Reagan,Republican,1985-02-01,59
Ronald Reagan,Republican,1985-03-01,56
Ronald Reagan,Republican,1985-04-01,53
Ronald Reagan,Republican,1985-05-01,55
Ronald Reagan,Republican,1985-06-01,61
Ronald Reagan,Republican,1985-07-01,64.5
Ronald Reagan,Republican,1985-08-01,62.7
Ronald Reagan,Republican,1985-10-01,62
Ronald Reagan,Republican,1985-11-01,66.7
Ronald Reagan,Republican,1986-01-01,67
Ronald Reagan,Republican,1986-03-01,63
Ronald Reagan,Republican,1986-04-01,63
Ronald Reagan,Republican,1986-05-01,67
Ronald Reagan,Republican,1986-06-01,67
Ronald Reagan,Republican,1986-07-01,63
Ronald Reagan,Republican,1986-08-01,63
Ronald Reagan,Republican,1986-09-01,62
Ronald Reagan,Republican,1986-10-01,64
Ronald Reagan,Republican,1986-12-01,47
Ronald Reagan,Republican,1987-01-01,49.7
Ronald Reagan,Republican,1987-02-01,40
Ronald Reagan,Republican,1987-03-01,46
Ronald Reagan,Republican,1987-04-01,47.5
Ronald Reagan,Republican,1987-05-01,49
Ronald Reagan,Republican,1987-06-01,45
Ronald Reagan,Republican,1987-07-01,49
Ronald Reagan,Republican,1987-09-01,49.5
Ronald Reagan,Republican,1987-10-01,49.2
Ronald Reagan,Republican,1987-11-01,52
Ronald Reagan,Republican,1987-12-01,56
Ronald Reagan,Republican,1988-02-01,52
Ronald Reagan,Republican,1988-03-01,51
Ronald Reagan,Republican,1988-05-01,49
Ronald Reagan,Republican,1988-07-01,50
Ronald Reagan,Republican,1988-09-01,53
Ronald Reagan,Republican,1988-11-01,56
Ronald Reagan,Republican,1988-12-01,63
George H.W. Bush,Republican,1989-01-01,51
George H.W. Bush,Republican,1989-02-01,60
George H.W. Bush,Republican,1989-03-01,60
George H.W. Bush,Republican,1989-04-01,55.5
George H.W. Bush,Republican,1989-05-01,58.4
George H.W. Bush,Republican,1989-06-01,64.7
George H.W. Bush,Republican,1989-07-01,66
