president,party,year_month,approval
Bill Clinton,Democrat,1995-01-01,46
Bill Clinton,Democrat,1995-02-01,45
Bill Clinton,Democrat,1995-03-01,43.5
Bill Clinton,Democrat,1995-04-01,47.3
Bill Clinton,Democrat,1995-05-01,50
Bill Clinton,Democrat,1995-06-01,46
Bill Clinton,Democrat,1995-07-01,46.5
Bill Clinton,Democrat,1995-08-01,45
Bill Clinton,Democrat,1995-09-01,45
Bill Clinton,Democrat,1995-10-01,47.5
Bill Clinton,Democrat,1995-11-01,52.5
Bill Clinton,Democrat,1995-12-01,50
Bill Clinton,Democrat,1996-01-01,46.7
Bill Clinton,Democrat,1996-02-01,53
Bill Clinton,Democrat,1996-03-01,53
Bill Clinton,Democrat,1996-04-01,54.5
Bill Clinton,Democrat,1996-05-01,53.5
Bill Clinton,Democrat,1996-06-01,54
Bill Clinton,Democrat,1996-07-01,56.5
Bill Clinton,Democrat,1996-08-01,53.7
Bill Clinton,Democrat,1996-09-01,60
Bill Clinton,Democrat,1996-10-01,56
Bill Clinton,Democrat,1996-11-01,57
Bill Clinton,Democrat,1996-12-01,57
Bill Clinton,Democrat,1997-01-01,59
Bill Clinton,Democrat,1997-02-01,57.5
Bill Clinton,Democrat,1997-03-01,59
Bill Clinton,Democrat,1997-04-01,54
Bill Clinton,Democrat,1997-05-01,57
Bill Clinton,Democrat,1997-06-01,55.5
Bill Clinton,Democrat,1997-07-01,58
Bill Clinton,Democrat,1997-08-01,60
Bill Clinton,Democrat,1997-09-01,58.5
Bill Clinton,Democrat,1997-10-01,56.5
Bill Clinton,Democrat,1997-11-01,59
Bill Clinton,Democrat,1997-12-01,55
Bill Clinton,Democrat,1998-01-01,60.6
Bill Clinton,Democrat,1998-02-01,66.3
Bill Clinton,Democrat,1998-03-01,64.7
Bill Clinton,Democrat,1998-04-01,65
Bill Clinton,Democrat,1998-05-01,64
Bill Clinton,Democrat,1998-06-01,60
Bill Clinton,Democrat,1998-07-01,62.7
Bill Clinton,Democrat,1998-08-01,62.3
Bill Clinton,Democrat,1998-09-01,62.3
Bill Clinton,Democrat,1998-10-01,64.3
Bill Clinton,Democrat,1998-11-01,65
Bill Clinton,Democrat,1998-12-01,64
Bill Clinton,Democrat,1999-01-01,67
Bill Clinton,Democrat,1999-02-01,64.6
Bill Clinton,Democrat,1999-03-01,64
Bill Clinton,Democrat,1999-04-01,58.7
Bill Clinton,Democrat,1999-05-01,58.7
Bill Clinton,Democrat,1999-06-01,59
Bill Clinton,Democrat,1999-07-01,59.7
Bill Clinton,Democrat,1999-08-01,59.3
Bill Clinton,Democrat,1999-09-01,59.5
Bill Clinton,Democrat,1999-10-01,57.5
Bill Clinton,Democrat,1999-11-01,58.5
Bill Clinton,Democrat,1999-12-01,56.5
Bill Clinton,Democrat,2000-01-01,61.8
Bill Clinton,Democrat,2000-02-01,59.7
Bill Clinton,Democrat,2000-03-01,59
Bill Clinton,Democrat,2000-04-01,60
Bill Clinton,Democrat,2000-05-01,57
Bill Clinton,Democrat,2000-06-01,56.5
Bill Clinton,Democrat,2000-07-01,58
Bill Clinton,Democrat,2000-08-01,60.3
Bill Clinton,Democrat,2000-09-01,61
Bill Clinton,Democrat,2000-10-01,57
Bill Clinton,Democrat,2000-11-01,63
Bill Clinton,Democrat,2000-12-01,65
Bill Clinton,Democrat,2001-01-01,64.5
George W. Bush,Republican,2001-02-01,58.3
George W. Bush,Republican,2001-03-01,57.3
George W. Bush,Republican,2001-04-01,60.5
George W. Bush,Republican,2001-05-01,54.7
George W. Bush,Republican,2001-06-01,52.3
George W. Bush,Republican,2001-07-01,54.7
George W. Bush,Republican,2001-08-01,56
George W. Bush,Republican,2001-09-01,75
George W. Bush,Republican,2001-10-01,88
George W. Bush,Republican,2001-11-01,86
George W. Bush,Republican,2001-12-01,85
George W. Bush,Republican,2002-01-01,83
George W. Bush,Republican,2002-02-01,81
George W. Bush,Republican,2002-03-01,78.4
George W. Bush,Republican,2002-04-01,75
George W. Bush,Republican,2002-05-01,76
George W. Bush,Republican,2002-06-01,72.8
George W. Bush,Republican,2002-07-01,70.6
George W. Bush,Republican,2002-08-01,65
George W. Bush,Republican,2002-09-01,66.8
George W. Bush,Republican,2002-10-01,65
George W. Bush,Republican,2002-11-01,65.7
George W. Bush,Republican,2002-12-01,62.3
George W. Bush,Republican,2003-01-01,59.6
George W. Bush,Republican,2003-02-01,58.6
George W. Bush,Republican,2003-03-01,64.8
George W. Bush,Republican,2003-04-01,69.5
George W. Bush,Republican,2003-05-01,67
George W. Bush,Republican,2003-06-01,60.2
George W. Bush,Republican,2003-07-01,60.5
George W. Bush,Republican,2003-08-01,59.5
George W. Bush,Republican,2003-09-01,50.5
George W. Bush,Republican,2003-10-01,56
George W. Bush,Republican,2003-11-01,51.5
George W. Bush,Republican,2003-12-01,58.5
George W. Bush,Republican,2004-01-01,57
George W. Bush,Republican,2004-02-01,51.2
George W. Bush,Republican,2004-03-01,51.7
George W. Bush,Republican,2004-04-01,51
George W. Bush,Republican,2004-05-01,46.7
George W. Bush,Republican,2004-06-01,49
George W. Bush,Republican,2004-07-01,47
George W. Bush,Republican,2004-08-01,50
George W. Bush,Republican,2004-09-01,51.7
George W. Bush,Republican,2004-10-01,48.7
George W. Bush,Republican,2004-11-01,53
George W. Bush,Republican,2004-12-01,50.5
George W. Bush,Republican,2005-01-01,51
George W. Bush,Republican,2005-02-01,52
George W. Bush,Republican,2005-03-01,51.5
George W. Bush,Republican,2005-04-01,48
George W. Bush,Republican,2005-05-01,47.2
George W. Bush,Republican,2005-06-01,45
George W. Bush,Republican,2005-07-01,48
George W. Bush,Republican,2005-08-01,43
George W. Bush,Republican,2005-09-01,43.5
George W. Bush,Republican,2005-10-01,40
George W. Bush,Republican,2005-11-01,38
George W. Bush,Republican,2005-12-01,42.2
George W. Bush,Republican,2006-01-01,43
George W. Bush,Republican,2006-02-01,40.5
George W. Bush,Republican,2006-03-01,37
George W. Bush,Republican,2006-04-01,35.7
George W. Bush,Republican,2006-05-01,32
George W. Bush,Republican,2006-06-01,37
George W. Bush,Republican,2006-07-01,39
George W. Bush,Republican,2006-08-01,39.5
George W. Bush,Republican,2006-09-01,41.5
George W. Bush,Republican,2006-10-01,37
George W. Bush,Republican,2006-11-01,35.5
George W. Bush,Republican,2006-12-01,36.5
George W. Bush,Republican,2007-01-01,35.5
George W. Bush,Republican,2007-02-01,34.5
George W. Bush,Republican,2007-03-01,34
George W. Bush,Republican,2007-04-01,37
George W. Bush,Republican,2007-05-01,33.5
George W. Bush,Republican,2007-06-01,32
George W. Bush,Republican,2007-07-01,30
George W. Bush,Republican,2007-08-01,33
George W. Bush,Republican,2007-09-01,34.5
George W. Bush,Republican,2007-10-01,32
George W. Bush,Republican,2007-11-01,31.5
George W. Bush,Republican,2007-12-01,34.3
George W. Bush,Republican,2008-01-01,33
George W. Bush,Republican,2008-02-01,32.5
George W. Bush,Republican,2008-03-01,32
George W. Bush,Republican,2008-04-01,28
George W. Bush,Republican,2008-05-01,28
George W. Bush,Republican,2008-06-01,28.7
George W. Bush,Republican,2008-07-01,31.5
George W. Bush,Republican,2008-08-01,31
George W. Bush,Republican,2008-09-01,30
George W. Bush,Republican,2008-10-01,27
George W. Bush,Republican,2008-11-01,27.3
George W. Bush,Republican,2008-12-01,30.5
Barack Obama,Democrat,2009-01-01,66.3
George W. Bush,Republican,2009-01-01,34
Barack Obama,Democrat,2009-02-01,64
Barack Obama,Democrat,2009-03-01,61.9
Barack Obama,Democrat,2009-04-01,62.6
Barack Obama,Democrat,2009-05-01,64.7
Barack Obama,Democrat,2009-06-01,60.7
Barack Obama,Democrat,2009-07-01,57.5
Barack Obama,Democrat,2009-08-01,53.3
Barack Obama,Democrat,2009-09-01,52.1
Barack Obama,Democrat,2009-10-01,52.8
Barack Obama,Democrat,2009-11-01,51
Barack Obama,Democrat,2009-12-01,50.2
Barack Obama,Democrat,2010-01-01,49.4
Barack Obama,Democrat,2010-02-01,50.3
Barack Obama,Democrat,2010-03-01,48.6
Barack Obama,Democrat,2010-04-01,48.5
Barack Obama,Democrat,2010-05-01,48.3
Barack Obama,Democrat,2010-06-01,46.5
Barack Obama,Democrat,2010-07-01,45.7
Barack Obama,Democrat,2010-08-01,44
Barack Obama,Democrat,2010-09-01,45.2
Barack Obama,Democrat,2010-10-01,45
Barack Obama,Democrat,2010-11-01,45.1
Barack Obama,Democrat,2010-12-01,45.9
Barack Obama,Democrat,2011-01-01,49.2
Barack Obama,Democrat,2011-02-01,47.6
Barack Obama,Democrat,2011-03-01,46.8
Barack Obama,Democrat,2011-04-01,44.1
Barack Obama,Democrat,2011-05-01,49.5
Barack Obama,Democrat,2011-06-01,46.4
Barack Obama,Democrat,2011-07-01,44.1
Barack Obama,Democrat,2011-08-01,40.6
Barack Obama,Democrat,2011-09-01,41.1
Barack Obama,Democrat,2011-10-01,41.1
Barack Obama,Democrat,2011-11-01,42.7
Barack Obama,Democrat,2011-12-01,42.8
Barack Obama,Democrat,2012-01-01,44.9
Barack Obama,Democrat,2012-02-01,45.5
Barack Obama,Democrat,2012-03-01,46.5
Barack Obama,Democrat,2012-04-01,47.5
Barack Obama,Democrat,2012-05-01,47.4
Barack Obama,Democrat,2012-06-01,46.5
Barack Obama,Democrat,2012-07-01,45.8
Barack Obama,Democrat,2012-08-01,45.1
Barack Obama,Democrat,2012-09-01,48.7
Barack Obama,Democrat,2012-10-01,50
Barack Obama,Democrat,2012-11-01,51.3
Barack Obama,Democrat,2012-12-01,52.8
Barack Obama,Democrat,2013-01-01,52
Barack Obama,Democrat,2013-02-01,51.5
Barack Obama,Democrat,2013-03-01,47.9
Barack Obama,Democrat,2013-04-01,49.3
Barack Obama,Democrat,2013-05-01,49.2
Barack Obama,Democrat,2013-06-01,47
Barack Obama,Democrat,2013-07-01,46.1
Barack Obama,Democrat,2013-08-01,45.2
Barack Obama,Democrat,2013-09-01,44.3
Barack Obama,Democrat,2013-10-01,42.9
Barack Obama,Democrat,2013-11-01,41
Barack Obama,Democrat,2013-12-01,41.2
Barack Obama,Democrat,2014-01-01,41.2
Barack Obama,Democrat,2014-02-01,41.8
Barack Obama,Democrat,2014-03-01,42.4
Barack Obama,Democrat,2014-04-01,43.8
Barack Obama,Democrat,2014-05-01,44.2
Barack Obama,Democrat,2014-06-01,42.3
Barack Obama,Democrat,2014-07-01,42
Barack Obama,Democrat,2014-08-01,41.7
Barack Obama,Democrat,2014-09-01,41.6
Barack Obama,Democrat,2014-10-01,41.6
Barack Obama,Democrat,2014-11-01,41.9
Barack Obama,Democrat,2014-12-01,43.9
Barack Obama,Democrat,2015-01-01,46.6
Barack Obama,Democrat,2015-02-01,45.7
Barack Obama,Democrat,2015-03-01,46.3
Barack Obama,Democrat,2015-04-01,46.8
Barack Obama,Democrat,2015-05-01,46.5
Barack Obama,Democrat,2015-06-01,45.7
